id,author,description,pubdate
1,@RCTIENTERTAINMENT,tetap bangga walaupun indonesia tel kalah uzbekistan semangat garuda muda tak pernah padam tetap dukung indonesia u-23 lolos olimpiade rebut tempat tiga lanjut ,2024-04-29 12:42:17
2,@edothereddevils,lolos semifinal afc u-23 status debut  peluang lolos olimpiade paris 2024   juang lelah main tim latih garuda muda serta doa dukung ratus juta rakyat indonesia bangga capai mereka patut tanya nasionalisme,2024-04-29 12:42:32
3,@Independence4545,kadang hidup dejavu 3x henti uzbekistan piala asia u20 asi games piala asia u23 asi games lebih ngenes main sangat ada banyak larang klub hampir kejut gol menit2 akhir lanjut penalti nyata offside padahal indra sjafri udah sujud syukur duluan kaya ferarri jangan lah selalu salah wasit kalau lihat yah memang banyak main lawan kena kaki badan kepala bahkan burung ikut tendang juga jauh lebih parah vietnam korea tetap fokus sempat maksimal 2 laga olimpiade,2024-04-29 12:42:53
4,@user-gu8uw8uw9v,ga jauh sama qavar,2024-04-29 12:43:22
5,@SumarYanto-my5me,uyquiwuwruwruwrweyeeyerurwqiyrtrrwqqrwewrqweqqrewqeewyqrewqeqrwrw edothereddevils,2024-04-29 12:43:43
6,@muhammadkhadafi6965,saran latih full tahun penuh passing kontrol deh kalau mau juara dunia,2024-04-29 12:46:04
7,@user-ru5rv7eq2m, wasit nya curang,2024-05-02 0:40:42
8,@Kisellandak-yk2kv,mentah kena ih wasit babi,2024-05-02 0:05:01
9,@jerriputraka6360,wasit nya bisa hajar kapal tahiilan,2024-05-02 0:04:04
10,@jerriputraka6360,loh kok lewat garis cara wasit tahiilan tendang la,2024-05-02 0:01:14
11,@revajanganlupa1165,wasit curang padahal udah 1 0,2024-05-01 23:43:33
12,@user-lj2sj4pc2j,uzbekistan menang haram nama negara zat diri bangsa suwap wasit dunia ter bahak bahak hahahaha bola zadi senetron wasit menang suab,2024-05-01 23:37:55
13,@zulwinahyu4037,yasit curang,2024-05-01 23:07:00
14,@Robi09-qj3mk,main ramdan sananta sangat2 tdk baik mkanya benar kursi cadang sty struik tdak dpat main itu lah ragu sty bner2 jadi ramdan baik lgi cara main nya biar lbih bagus lgi dr belum,2024-05-01 23:04:05
15,@Abu_Syuhada1515,haha,2024-05-01 23:00:35
16,@SarNata-wk9tm,kiper nge-prank main pegang doang ama ramadan g jatuh,2024-05-01 22:58:44
17,@user-ri1kg8cd7z,komentar sok tau,2024-05-01 22:47:57
18,@santony9965,jelas buah bawah orang tendang protes apa  kalau liga tarkam bagai biasa di liga eropa liga besar iti langgar keras,2024-05-01 22:31:19
19,@jantoskeren2737,goal ke-2 mana habis ridho kena kartu merah tiba tiba udah 2-0,2024-05-01 21:40:49
20,@sahansah8093,wasitte anjeng,2024-05-01 21:23:06
21,@bangsawanjak1289,kata insonesia vs uzbekistan tanding ulang ko malam rebut juara 3 ndak apa yg penting indonesia juara 3 ,2024-05-01 21:03:58
22,@OPPONot-rv6ql,wasit shen yin hao,2024-05-01 20:34:16
23,@SitiMubarokah-uy8cx,indonesia menang ,2024-05-01 19:51:36
24,@MarjonJon-xb9ek,kalau msh begini cara indonesia main tdk pernah juara,2024-05-01 19:46:26
25,@user-rx4jm1mc8b,wasit babyy,2024-05-01 19:45:07
26,@farrasrt546,wasit curang  wasit thailand,2024-05-01 19:17:03
27,@blackskind8024,presing tinggi main uzbekistan garis tahan indonesia kinci menang uzbek main indonesia bahkan tdk kembang pasing area sendiri taktik jenius latih uzbek tahu titik lemah indonesia,2024-05-01 19:14:30
28,@calesticall128,343 tampak lebih dulu teliti negara gembor main cadang nya tetap semangat,2024-05-01 18:41:18
29,@kiranaaudio,wasid kok pilih kasih,2024-05-01 17:26:41
30,@borissimamora,wasit an ,2024-05-01 17:10:16
31,@bangtom5746,wasit curang main,2024-05-01 16:15:20
32,@user-to1dd1rq9t,afc gak jelas sarang mafia bola,2024-05-01 15:35:09
33,@user-qm9bc9lm8q,indonesia kalah,2024-05-01 15:13:56
34,@depigranium,alhmdl kalah indo ,2024-05-01 14:45:57
35,@fandefalwi-kg6ie,inti kalau kalah arti menang pintar sepak bola,2024-05-01 14:38:11
36,@Eelfatin,wasit bayar mungkin,2024-05-01 14:33:27
37,@kai-mv1cd,lawan uzbekistan timnas sedang pressure lawan hingga area tahan kita tim lawan yg sedang tekan tahan kita benar sisi positif negatif juga mungkin kuat depan mempressure bek kita jelas tahan lowong main lawan terlalu tinggi depan bagaimana manfaat lemah tahan mungkin serang balik cepat long ball tempat main cepat tinggi depan yg tahan bola depan depan timnas punya solusi hadap tim yg terap taktik uzbekistan pressing tinggi,2024-05-01 14:22:33
