id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl
1,@RCTIENTERTAINMENT,"TETAP BANGGA! Walaupun Indonesia harus menelan kekalahan dari Uzbekistan, namun Semangat Garuda Muda takkan pernah padam! Tetap dukung Indonesia U-23 untuk lolos ke Olimpiade di perebutan tempat ketiga selanjutnya. 馃敟馃敟馃敟",UgwzCZmkReeHutPvqYx4AaABAg,,1814,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg,2024-04-29 12:42:17,351,"TETAP BANGGA! Walaupun Indonesia harus menelan kekalahan dari Uzbekistan, namun Semangat Garuda Muda takkan pernah padam! Tetap dukung Indonesia U-23 untuk lolos ke Olimpiade di perebutan tempat ketiga selanjutnya. 馃敟馃敟馃敟",http://www.youtube.com/@RCTIENTERTAINMENT
2,@edothereddevils,Lolos ke semifinal AFC U-23 dengan status debutan 鉁� Masih berpeluang lolos ke Olimpiade Paris 2024 鉁� . Perjuangan tanpa lelah pemain  tim pelatih Garuda muda Disertai dengan doa  dukungan ratusan juta rakyat Indonesia Dan masih ada yang tidak bangga dengan pencapaian mereka?? Patut dipertanyakan nasionalismenya!!,UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3fjwYaMG,@RCTIENTERTAINMENT,112,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3fjwYaMG,2024-04-29 12:42:32,0,Lolos ke semifinal AFC U-23 dengan status debutan 鉁� Masih berpeluang lolos ke Olimpiade Paris 2024 鉁� . Perjuangan tanpa lelah pemain  tim pelatih Garuda muda Disertai dengan doa  dukungan ratusan juta rakyat Indonesia Dan masih ada yang tidak bangga dengan pencapaian mereka?? Patut dipertanyakan nasionalismenya!!,http://www.youtube.com/@edothereddevils
3,@Independence4545,"Kadang hidup dejavu sudah 3x terhenti oleh uzbekistan di piala asia u20, asian games dan piala asia u23. Di asian games lebih ngenes lagi dengan pemain sangat seadanya banyak yang dilarang klub hampir saja mengejutkan gol menit2 akhir dan lanjut penalti tapi ternyata offside padahal indra sjafri udah sujud syukur duluan kaya ferarri. Dan jangan lah selalu menyalahkan wasit, kalau dilihat yah memang banyak pemain lawan terkena kaki, badan, kepala, dan bahkan burungnya ikut ketendang juga, ini jauh lebih parah dari vietnam dan korea. Harus tetap fokus masih ada kesempatan maksimal 2 laga lagi untuk ke olimpiade",UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3iGPkTug,@RCTIENTERTAINMENT,30,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3iGPkTug,2024-04-29 12:42:53,0,"Kadang hidup dejavu sudah 3x terhenti oleh uzbekistan di piala asia u20, asian games dan piala asia u23. Di asian games lebih ngenes lagi dengan pemain sangat seadanya banyak yang dilarang klub hampir saja mengejutkan gol menit2 akhir dan lanjut penalti tapi ternyata offside padahal indra sjafri udah sujud syukur duluan kaya ferarri. Dan jangan lah selalu menyalahkan wasit, kalau dilihat yah memang banyak pemain lawan terkena kaki, badan, kepala, dan bahkan burungnya ikut ketendang juga, ini jauh lebih parah dari vietnam dan korea. Harus tetap fokus masih ada kesempatan maksimal 2 laga lagi untuk ke olimpiade",http://www.youtube.com/@Independence4545
4,@user-gu8uw8uw9v,Ga jauh sama QAVAR,UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3loWlr92,@RCTIENTERTAINMENT,23,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3loWlr92,2024-04-29 12:43:22,0,Ga jauh sama QAVAR,http://www.youtube.com/@user-gu8uw8uw9v
5,@SumarYanto-my5me,Uyquiwuwruwruwrweyeeyerurwqiyrtrrwqqrwewrqweqqrewqeewyqrewqeqrwrw鈥婡@edothereddevils,UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3oRwD9CG,@RCTIENTERTAINMENT,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p3oRwD9CG,2024-04-29 12:43:43,0,Uyquiwuwruwruwrweyeeyerurwqiyrtrrwqqrwewrqweqqrewqeewyqrewqeqrwrw鈥婡@edothereddevils,http://www.youtube.com/@SumarYanto-my5me
6,@muhammadkhadafi6965,Saran latihan full setahun penuh passing dan kontrol deh kalau mau juara dunia,UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p44d-ChEK,@RCTIENTERTAINMENT,32,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwzCZmkReeHutPvqYx4AaABAg.A2p3dvs1u3SA2p44d-ChEK,2024-04-29 12:46:04,0,Saran latihan full setahun penuh passing dan kontrol deh kalau mau juara dunia,http://www.youtube.com/@muhammadkhadafi6965
7,@user-ru5rv7eq2m," ""; wasit nya curang",UgxI0WzGtSOov07AE6B4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxI0WzGtSOov07AE6B4AaABAg,2024-05-02 0:40:42,0," ""; wasit nya curang",http://www.youtube.com/@user-ru5rv7eq2m
8,@Kisellandak-yk2kv,Mentahan nggak ada kena ih wasitnya babi,UgwU8EHIkJKq_5Cchp14AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgwU8EHIkJKq_5Cchp14AaABAg,2024-05-02 0:05:01,0,Mentahan nggak ada kena ih wasitnya babi,http://www.youtube.com/@Kisellandak-yk2kv
9,@jerriputraka6360,wasit nya tidak bisa. hajar kapal tahiilan,Ugz0joWNVqbknC3-RHh4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugz0joWNVqbknC3-RHh4AaABAg,2024-05-02 0:04:04,0,wasit nya tidak bisa. hajar kapal tahiilan,http://www.youtube.com/@jerriputraka6360
10,@jerriputraka6360,"loh kok lewat, garis, caranya wasit tahiilan itu di tendang la.",Ugwz73bRjD-KK5uCCMV4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugwz73bRjD-KK5uCCMV4AaABAg,2024-05-02 0:01:14,0,"loh kok lewat, garis, caranya wasit tahiilan itu di tendang la.",http://www.youtube.com/@jerriputraka6360
11,@revajanganlupa1165,Wasitnya curang padahal udah 1.0,UgzSZSvwUm3OJyVme_V4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzSZSvwUm3OJyVme_V4AaABAg,2024-05-01 23:43:33,0,Wasitnya curang padahal udah 1.0,http://www.youtube.com/@revajanganlupa1165
12,@user-lj2sj4pc2j,Uzbekistan menang haram .nama negara ini .zati diri bangsa suwap wasit .dunia ter bahak bahak hahahaha .bola zadi senetron wasit menang suab,UgzkuzXJIw0xHXg2LKB4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzkuzXJIw0xHXg2LKB4AaABAg,2024-05-01 23:37:55,0,Uzbekistan menang haram .nama negara ini .zati diri bangsa suwap wasit .dunia ter bahak bahak hahahaha .bola zadi senetron wasit menang suab,http://www.youtube.com/@user-lj2sj4pc2j
13,@zulwinahyu4037,Yasit ya curang,UgxOd7L5BeBhbDOuMs54AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxOd7L5BeBhbDOuMs54AaABAg,2024-05-01 23:07:00,0,Yasit ya curang,http://www.youtube.com/@zulwinahyu4037
14,@Robi09-qj3mk,Permainan Ramdan sananta sangat2 TDK baik mkanya dia sebenarnya di kursi cadangan oleh sty oleh struik tdak dpat main.itu lah keraguan sty bner2 terjadi.ramdan harus perbaiki lgi cara bermain nya biar lbih bagus lgi dr sebelumnya!!!,UgzsarOoobD5xJkVtE14AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgzsarOoobD5xJkVtE14AaABAg,2024-05-01 23:04:05,0,Permainan Ramdan sananta sangat2 TDK baik mkanya dia sebenarnya di kursi cadangan oleh sty oleh struik tdak dpat main.itu lah keraguan sty bner2 terjadi.ramdan harus perbaiki lgi cara bermain nya biar lbih bagus lgi dr sebelumnya!!!,http://www.youtube.com/@Robi09-qj3mk
15,@Abu_Syuhada1515,Haha,UgxymtDYCCpy1ThUvWx4AaABAg,,1,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxymtDYCCpy1ThUvWx4AaABAg,2024-05-01 23:00:35,0,Haha,http://www.youtube.com/@Abu_Syuhada1515
16,@SarNata-wk9tm,Kipernya nge-prank pemain dipegang doang ama Ramadan g jatuh,Ugwfew_3rpv80GPzBpF4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugwfew_3rpv80GPzBpF4AaABAg,2024-05-01 22:58:44,0,Kipernya nge-prank pemain dipegang doang ama Ramadan g jatuh,http://www.youtube.com/@SarNata-wk9tm
17,@user-ri1kg8cd7z,Komentar sok tau,UgxOsFvbNJxPLwods8l4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=UgxOsFvbNJxPLwods8l4AaABAg,2024-05-01 22:47:57,0,Komentar sok tau,http://www.youtube.com/@user-ri1kg8cd7z
18,@santony9965,"jelas buah bawah orang di tendang .protes apa ???馃槄 kalau di liga tarkam itu bagi sebagaian hal biasa .di liga eropa ,liga besar iti sudah pelanggaran keras",Ugy6qk2snISmzEdFOCB4AaABAg,,0,https://www.youtube.com/watch?v=6EQWF79wG2I&lc=Ugy6qk2snISmzEdFOCB4AaABAg,2024-05-01 22:31:19,0,"jelas buah bawah orang di tendang .protes apa ???馃槄 kalau di liga tarkam itu bagi sebagaian hal biasa .di liga eropa ,liga besar iti sudah pelanggaran keras",http://www.youtube.com/@santony9965
